ID,Title,Work Item Type,System.AreaPath,System.IterationPath,Microsoft.VSTS.Common.Priority,Microsoft.VSTS.Scheduling.StoryPoints
3508910,508: [AdvanceFlow] [Manage Users] [1.3.1]: NVDA is not announcing the Label associated with the check box.,Bug,,,,2
3508911,508: [AdvanceFlow] [Manage Users] [TR Standard]: NVDA is announcing required field incorrectly.,Bug,,,,2
3508912,508: [AdvanceFlow] [Manage Users] [4.1.2]: NVDA is not announcing the label associated with combo box,Bug,,,,2
3508913,508: [AdvanceFlow] [Manage Users] [1.3.1]:  Switch off button are not Grouped with instruction.,Bug,,,,2
3508914,508: [AdvanceFlow] [Manage Users] [3.3.2]: Avoid placeholder values to explain the input.,Bug,,,,2
3508915,508: [AdvanceFlow] [Manage Users] [4.1.2]: NVDA is not announcing the name of the calendar button.,Bug,,,,2
3508916,508: [AdvanceFlow] [Manage Users] [4.1.13]: NVDA is not announcing the search results information.,Bug,,,,2
3508917,508: [AdvanceFlow] [Manage Users] [4.1.2]: NVDA is not announcing the label associated with switch of button.,Bug,,,,2
3508918,508: [AdvanceFlow] [Engagement Dashboard] [2.1.1]: Checkboxes are not accessible using expected keyboard interactions.,Bug,,,,3
3508919,508: [AdvanceFlow] [Engagement Dashboard] [2.1.2]: Unable to move forward from the close button in manage columns dialog.,Bug,,,,3
3508920,508: [AdvanceFlow] [Engagement Dashboard] [4.1.2]: Add Note dialog needs accessible name and proper H2,Bug,,,,2
3508921,508: [AdvanceFlow] [Header] [1.4.10]: On resizing the page to 400% zoom the table header are truncated.,Bug,,,,3
3508922,508: [AdvanceFlow] [Engagement Dashboard] [2.4.3]: Keyboard focus is going to the hidden elemet present on the page.,Bug,,,,3
3508923,508: [AdvanceFlow] [Engagement Dashboard] [2.4.7]: keyboard focus is not visible for Filter by value and filter by condition.,Bug,,,,3
3508924,508: [AdvanceFlow] [Engagement Dashboard] [2.4.7]: Keyboard focus is not visible for 'select all' check box.,Bug,,,,3
3508925,508: [AdvanceFlow] [Engagement Dashboard] [2.4.7]: Keyboard focus is very faint for the Apply button.,Bug,,,,
3508926,508: [AdvanceFlow] [Engagement Dashboard][4.1.2]: NVDA is announcing the incorrect role information for Filter by value and filter by condition.,Bug,,,,
3508927,508: [AdvanceFlow] [Engagement Dashboard] [2.1.1]: Show item per value drop down is not getting expanded using enter or space key.,Bug,,,,
3508928,508: [AdvanceFlow] [Engagement Dashboard] [2.1.1]: View properties link is not accessible using keyboard.,Bug,,,,
3508929,508: [AdvanceFlow] [Engagement Dashboard] [2.1.1]: Quick insert button not accessible using keyboard.,Bug,,,,
3508930,508: [AdvanceFlow] [Manage Users] [4.1.2]: NVDA is not announcing the label associated with Priority and Status combo boxes. The elements have explicit <label>s that are hidden.,Bug,,,,
3508931,508: [AdvanceFlow] [Manage Users] [4.1.2]: the NVDA is not announcing the name of the Note field,Bug,,,,
3508934,508: [AdvanceFlow] [Manage Users] [1.4.3]: Blue text with blue background doesnot meet the required contrast ratio of 4.5:1.,Bug,,,,
3508935,508: [AdvanceFlow] [Manage Users] [1.4.11]: Focus Indicator for Month and Year control doesnot meet the required ratio of 3:1.,Bug,,,,
3508947,508: [AdvanceFlow] [Manage Users] [1.4.3]: White text with blue background doesnot meet the required contrast ratio of 4.5:1.,Bug,,,,
3508948,508: [AdvanceFlow] [Engagement Dashboard] [1.4.11]: Close button in the dialog does not meet the required ratio of 3:1,Bug,,,,
3510251,508: [AdvanceFlow] [Create request] [1.4.11]: Color contrast ratio is not sufficient for + icon,Bug,,,,3
3510253,508: [AdvanceFlow] [Create request] [4.1.2]: Incorrect role button is provided instead of link to add new,Bug,,,,3
3510254,508: [AdvanceFlow] [Create request] [1.3.1]: Unnecessary bread crumb is announced with 'Add new' button.,Bug,,,,2
3510255,508: [AdvanceFlow] [Create request] [4.1.2]: Advance option Expand/ Collapse state is not announced by screen reader,Bug,,,,2
3510256,508: [AdvanceFlow] [Create request] [2.5.3]: Tooltips for Attach document and add comment should be hidden from assistive technology.,Bug,,,,2
3510257,508: [AdvanceFlow] [Side Navigation] [4.1.2]: Current linked page is not announced by screen reader in sid nav.,Bug,,,,2
3510259,508: [AdvanceFlow] [Side navigation] [1.3.1]: Properties tab in Side navigation menu needs indication of it's expanded/collapsed state.,Bug,,,,2
3510260,508: [AdvanceFlow] [Side navigation] [1.3.1]: Expand collapse state is not announced by screen reader for Administration submenu in the side navigation.,Bug,,,,2
3510262,508: [AdvanceFlow] [Create request] [2.4.7]: Focus outline is not visible properly on select client contact dropdown,Bug,,,,3
3510263,508: [AdvanceFlow] [Create request] [2.4.7]: Focus outline is not visible on close button,Bug,,,,3
3510264,508: [AdvanceFlow] [Create request] [2.4.7]: Focus is not visible on Set default email reminders,Bug,,,,3
3510265,508: [AdvanceFlow] [Create request] [3.3.2]: Visual label does not match with screen reader announcement,Bug,,,,2
3510267,508: [AdvanceFlow] [Create request] [1.3.1]: Visual label is not associated with search edit field in 'Create from Template' modal.,Bug,,,,2
3510268,"508: [AdvanceFlow] [Create request] [1.3.1]: Visual label for include in 'roll forward', 'Opt out of staff email updates' and 'required password' are not associated with toggle switch.",Bug,,,,2
3510271,508: [AdvanceFlow] [Create request] [2.1.1]: Breadcrumb menu Drop-down is not accessible for keyboard users,Bug,,,,3
3510272,508: [AdvanceFlow] [Create request] [2.1.1]: Search edit Clear 'X' is not accessible for keyboard user in the 'Create from Template' modal,Bug,,,,3
3510273,508: [AdvanceFlow] [Create request] [2.1.2]: Tab focus gets trapped at days and does not move forward,Bug,,,,3
3510274,508: [AdvanceFlow] [Create request] [2.4.7]: When opening the 'Create New Request'  button and navigating with the up/down arrows (an expected keyboard interaction) focus disappears but remains visible when using the tab key.,Bug,,,,3
3510275,508: [AdvanceFlow] [Create request] [TR Ideal]: Heading level 1 is not defined on the page.,Bug,,,,2
3510278,"508: [AdvanceFlow] [Create request] [1.3.1]: Attach work paper, Attach document, Add comment buttons are headings.",Bug,,,,2
3510279,508: [AdvanceFlow] [Create request] [TR Standard]: Create from template is not tagged as heading,Bug,,,,2
3510281,508: [AdvanceFlow] [Create request] [1.4.10]: Data overlapping occurs after 400% browser zoom at Side navigation and main region of communication tab,Bug,,,,5
3510282,508: [AdvanceFlow] [Create request] [1.4.10]: Main content area of communication tab is not visible properly after 400% browser zoom,Bug,,,,5
3510286,508: [AdvanceFlow] [Create request] [1.4.10]: Create request main area is not visible after 400% browser zoom,Bug,,,,5
3538216,508: [AdvanceFlow] [Client Communication Template] [4.1.2]: Create from template modal needs accessible name,Bug,,,,2
3538247,508: [AdvanceFlow] [Client Communication Template] [1.4.1]: Change in color alone is used for visual indicator on 'x' close button,Bug,,,,2
3538277,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: Search input needs explicitly associated label,Bug,,,,2
3538305,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: Text in template preview pane should be an <ul>,Bug,,,,2
3540633,"508: [AdvanceFlow] [Client Communication Template] [1.1.1]: Success icon in 'Draft Requests created from template"" toast needs alt text",Bug,,,,2
3541565,"508: [AdvanceFlow] [Client Communication Template] [4.1.2]: Edit and delete buttons in ""create new template' list need proper roles",Bug,,,,2
3541594,"508: [AdvanceFlow] [Client Communication Template] [2.4.7]: Visible focus lost on buttons in  ""create new template' list",Bug,,,,3
3541643,"508: [AdvanceFlow] [Client Communication Template] [1.1.1]:' Create new template' button at the top of  ""create new template' list needs alt text",Bug,,,,2
3541966,508: [AdvanceFlow] [Client Communication Template] [1.1.1]: Window splitter needs accurate alt text,Bug,,,,2
3543170,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: Window splitter does not indicate spiltter's position on the page,Bug,,,,2
3543194,508: [AdvanceFlow] [Client Communication Template] [3.3.2]: 'Copy template' modal needs visible and programmatic label for its input,Bug,,,,2
3543199,508: [AdvanceFlow] [Client Communication Template] [1.1.1]: 'Copy template' modal close button needs correct alt text,Bug,,,,2
3543247,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: 'Copy template' modal needs its required field marked,Bug,,,,2
3543276,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: 'Copy template' modal error is not announced to screen readers,Bug,,,,2
3543961,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: 'Document request template' form errors are not announced to screen readers,Bug,,,,2
3544012,508: [AdvanceFlow] [Client Communication Template] [1.3.1]: Title field on 'Document request template' needs programmatic label,Bug,,,,2
3544064,508: [AdvanceFlow] [Client Communication Template] [1.1.1]: Remove main request template button on 'Document request template' needs programmatic label,Bug,,,,2
3544098,508: [AdvanceFlow] [Client Communication Template] [4.1.2]: Remove main request template modal on 'Document request template' not announced by screen reader,Bug,,,,2
3544109,508: [AdvanceFlow] [Client Communication Template] [2.1.1]: Remove main request template button on 'Document request template' is not keyboard operable,Bug,,,,3
3544146,"508: [AdvanceFlow] [Client Communication Template] [4.1.2]: Subrequest fields ""Name of document or form"" and ""Optional"" on 'Document request template' need programmatic labels",Bug,,,,2
3544148,508: [AdvanceFlow] [Client Communication Template] [2.4.3]: Remove button for main and sub requests causes incorrect focus,Bug,,,,3
3545312,508: [AdvanceFlow] [Client Communication Template] [3.2.2]: Pressing 'Add Subrequest' button changes page context with no indication to the user,Bug,,,,3
3545441,508: [AdvanceFlow] [Client Communication Template] [3.2.2]: Pressing 'Add Main Request' button changes page context with no indication to the user,Bug,,,,3
3576411,[EM]:[Journal Entry redesign]:[508]: Filter by condition/filter by Value are links when they should function as tabs.,Bug,,,,2
3576418,"[EM]:[Journal Entry redesign]:[508]: in sorting/filter modal, ""Show items where the value"" label is not available via screendreader.",Bug,,,,1
3576428,"[EM]:[Journal Entry redesign]:[508][TR Standard]: in sorting/filter modal, listbox containing checkboxes needs an accessible name",Bug,,,,2
3673299,508: [Engagement Manager] [Journal Entries] [2.1.1]: Avoid placing inactive elements in the focus order,Bug,,,,3
3673300,508: [Engagement Manager] [Journal Entries] [2.1.1]: Ensure all active elements receive keyboard focus or can be activated with the keyboard,Bug,,,,5
3673301,508: [Engagement Manager] [Journal Entries] [1.3.1]: Ensure data tables are formatted using table elements,Bug,,,,3
3673302,"508: [Engagement Manager] [Journal Entries] [4.1.2]: In the account number field of the distribution grid, the cells in the first column are not marked as an input element.",Bug,,,,
