Category,Work Item ID,Title,Type,Priority,Priority Group,Story Points,Created By,State,URL,Description,Steps to Reproduce
Title match,3077437,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Add> Add engagement > Account grouping: Account grouping check box has no visible focus",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077437,,
Title match,3077443,"508: [Cloud Audit Suite] [EPC] [1.3.1][Under Engagement, Add and Manage]: Engagement > Manage > Send to pdf: Multiple heading level 1 is present on the page    ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077443,,
Title match,3077452,"508: [Cloud Audit Suite] [EPC] [1.4.4] [Under Engagement, Add and Manage]: Add> Manage > Properties > Content:After 200% browser zoom data overlapping is observed.              ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077452,,
Title match,3077458," 508: [Cloud Audit Suite] [EPC] [1.4.4] [Under Engagement, Add and Manage]:  After 200% browser zoom, data truncation is observed.  ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3077458,,
Title match,3088463,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Under Engagement, Add and Manage]: When leaving the 'Add Note" modal, focus does not move back to the trigger control",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3088463,,
Title match,3088618,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Under Engagement, Add and Manage]: Engagement > Visible focus is not consistent",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3088618,,
Title match,3089377,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Combo boxes throughout Workpapers 'Create Report' section are missing labels",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3089377,,
Title match,3136845,"[AF] [Communications] [Create Request] [508] not meeting reflow/magnification standard",User Story,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3136845,,
Title match,3143533,"[AF] [General] [508] Spike: Assess options to meet magnification and reflow standards",User Story,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3143533,,
Title match,3149770,"[AF] [Communications] [Create Request] [508] Spike: Assess options to meet magnification and reflow standards",User Story,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3149770,,
Title match,3285381,"508: [Cloud Audit Suite] [Client Collaboration Microsite] [1.3.1]: Unnecessary use of heading elements is defined on the page.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3285381,,
Title match,3285575,"508: [Cloud Audit Suite] [Client Collaboration Microsite] [TR Standard]: Ensure ARIA regions, landmarks, and HTML sections are identifiable.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3285575,,
Title match,3285622,"508: [Cloud Audit Suite] [Client Collaboration Microsite] [1.3.2]: NVDA is announcing some hidden content information when navigating using arrow keys.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3285622,,
Title match,3508897,"508: [AdvanceFlow] [Header] [2.4.1]: Skip to main content is not present on the page.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3508897,,
Title match,3508898,"508: [AdvanceFlow] [Header] [TR Standard]:H1 Heading is not defined on the page.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3508898,,
Title match,3508899,"508: [AdvanceFlow] [Header] [2.4.3]: After closing the setup dialog the keyboard focus is visible on add new engagement button.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3508899,,
Title match,3508902,"508: [AdvanceFlow] [Header] [2.4.3]: On closing the more option button with Esc key the whole dialog is getting closed.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3508902,,
Title match,3508921,"508: [AdvanceFlow] [Header] [1.4.10]: On resizing the page to 400% zoom the table header are truncated.",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3508921,,
Title match,3673299,"508: [Engagement Manager] [Journal Entries] [2.1.1]: Avoid placing inactive elements in the focus order",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673299,,
Title match,3673300,"508: [Engagement Manager] [Journal Entries] [2.1.1]: Ensure all active elements receive keyboard focus or can be activated with the keyboard",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673300,,
Title match,3673301,"508: [Engagement Manager] [Journal Entries] [1.3.1]: Ensure data tables are formatted using table elements",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673301,,
Title match,3673302,"508: [Engagement Manager] [Journal Entries] [4.1.2]: In the account number field of the distribution grid, the cells in the first column are not marked as an input element.",Bug,,,,,Active,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673302,,
Title match,3673304,"508: [Engagement Manager] [Journal Entries] [TR Standard]: Ensure heading level matches the heading's visual importance/level",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673304,,
Title match,3673305,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Select account screen checkboxes should have accessible text to list the account number and description",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673305,,
Title match,3673306,"508: [Engagement Manager] [Journal Entries] [1.3.1]: aria-describedby id reference is invalid",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673306,,
Title match,3673307,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Wijmo grid in the select accounts screen has invalid "aria-describedby" attribute",Bug,,,,,Active,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673307,,
Title match,3673308,"508: [Engagement Manager] [Journal Entries] [4.1.3]: Search results for 'select account' page are not properly announced to assistive technology",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673308,,
Title match,3673309,"508: [Engagement Manager] [Journal Entries] [2.5.3]: Ensure the badge on "Review selections" has appropriate context",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673309,,
Title match,3673311,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Remove incorrect aria-labelledby from input",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673311,,
Title match,3673312,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Aria-level="3" on modal subtitle should be removed",Bug,,,,,Ready,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3673312,,
